wkt;id;lineasub
MULTILINESTRING ((-58.4550292863567 -34.5871978537495,-58.466227204617 -34.5840946203706));63;B
MULTILINESTRING ((-58.466227204617 -34.5840946203706,-58.4742408266727 -34.5812488472338));64;B
MULTILINESTRING ((-58.4060363810352 -34.6089352416215,-58.40473171649 -34.6152421522706));65;H
MULTILINESTRING ((-58.402322730424 -34.6230923205019,-58.4009695560165 -34.6293756575728));66;H
MULTILINESTRING ((-58.40473171649 -34.6152421522706,-58.402322730424 -34.6230923205019));67;H
MULTILINESTRING ((-58.4009695560165 -34.6293756575728,-58.3989275853601 -34.635750180343));68;H
MULTILINESTRING ((-58.4411776244941 -34.6204052134137,-58.4486476546517 -34.6235289531268));69;A
MULTILINESTRING ((-58.4486476546517 -34.6235289531268,-58.4567097990004 -34.6266665940388));70;A
MULTILINESTRING ((-58.4054503284842 -34.6044902016081,-58.4060363810352 -34.6089352416215));71;H
MULTILINESTRING ((-58.3989275853601 -34.635750180343,-58.4057948259686 -34.6384059882851));72;H
MULTILINESTRING ((-58.4057948259686 -34.6384059882851,-58.4123851512005 -34.6412689433909));73;H --> TERMINAL >
MULTILINESTRING ((-58.4742408266727 -34.5812488472338,-58.4810135041216 -34.5777973778049));74;B
MULTILINESTRING ((-58.4810135041216 -34.5777973778049,-58.4863853484926 -34.5743189142063));75;B --> TERMINAL >
MULTILINESTRING ((-58.4567097990004 -34.6266665940388,-58.4635405106623 -34.6290872274132));76;A
MULTILINESTRING ((-58.4635405106623 -34.6290872274132,-58.4696396292697 -34.6307070870644));77;A --> TERMINAL >
MULTILINESTRING ((-58.4054503284842 -34.6044902016081,-58.4037214964387 -34.5984551117734));78;H
MULTILINESTRING ((-58.4037214964387 -34.5984551117734,-58.4023761750349 -34.5945253962188));79;H
MULTILINESTRING ((-58.4023761750349 -34.5945253962188,-58.3972155751019 -34.5874615464262));80;H --> TERMINAL >
MULTILINESTRING ((-58.397204875946 -34.5874851647961,-58.3915829658508 -34.5832453963252));81;H --> TERMINAL <
MULTILINESTRING ((-58.3736872673035 -34.6092459040165,-58.376669883728 -34.5918660316281));82;E --> TERMINAL <
